Date,Close,Volume,Open,High,Low
2018-01-18,100100,1015250,99000,100100,96800
2018-01-17,99900,1016930,103000,104200,99900
2018-01-16,103500,1138380,102800,103900,101800
2018-01-15,102200,968320,100500,102200,98600
2018-01-12,100500,1049410,103100,103600,100000
2018-01-11,103200,697400,103500,104000,101100
2018-01-10,103000,904540,104000,105000,102800
2018-01-09,102000,778170,102000,103400,100400
2018-01-08,100400,730170,100000,101900,99000
2018-01-05,100400,829840,102600,103500,100000
2018-01-04,102000,977010,98000,102000,98000
2018-01-03,97400,755420,95000,97800,95000
2018-01-02,95300,1418300,97100,98200,94000
2017-12-29,97400,721960,99100,99100,97300
2017-12-28,98700,543780,98800,99200,96700
2017-12-27,98800,669700,100000,100000,98000
2017-12-26,97500,607330,95400,97500,94900
2017-12-25,94300,313930,93100,94600,93000
2017-12-22,93100,358360,92600,93800,91500
2017-12-21,92400,665130,92500,94800,92100
2017-12-20,92100,833650,90400,95000,90400
2017-12-19,90400,775800,91600,93000,90400
2017-12-18,92500,938560,88000,92500,88000
2017-12-15,87000,334350,85800,87100,85800
2017-12-14,85800,940650,86600,86600,85500
2017-12-13,86600,972050,87500,88400,86400
2017-12-12,87000,1353460,84000,87000,81700
2017-12-11,83200,829330,84500,85800,83000
2017-12-08,85700,720080,85500,86500,84300
2017-12-07,85000,887140,83100,85900,83100
2017-12-06,83300,699210,83000,83900,81800
2017-12-05,82700,1289420,81200,84700,81200
2017-12-04,81400,792790,82000,82900,81200
2017-12-01,81800,524060,81000,82000,80600
2017-11-30,79700,659280,79600,82300,79200
2017-11-29,79800,726350,80500,80500,78700
2017-11-28,79800,519350,81200,81500,79800
2017-11-27,81100,694900,80500,82300,80200
2017-11-24,80200,635060,81000,81000,79800
2017-11-23,80600,669620,83800,83900,80200
2017-11-22,82700,529790,82000,83900,81600
2017-11-21,81000,747040,80500,83000,80000
2017-11-20,80800,520030,79300,81500,78800
2017-11-17,79400,621920,79900,80300,78700
2017-11-16,79900,524770,79200,80100,78800
